id,name,fullName,shortName,abbreviation,countryId
switzerland,Switzerland,Swiss Grand Prix,Swiss GP,CHE,switzerland
austria,Austria,Austrian Grand Prix,Austrian GP,AUT,austria
italy,Italy,Italian Grand Prix,Italian GP,ITA,italy
las-vegas,Las Vegas,Las Vegas Grand Prix,Las Vegas GP,LAS,united-states-of-america
dallas,Dallas,Dallas Grand Prix,Dallas GP,DAL,united-states-of-america
hungary,Hungary,Hungarian Grand Prix,Hungarian GP,HUN,hungary
argentina,Argentina,Argentine Grand Prix,Argentine GP,ARG,argentina
sweden,Sweden,Swedish Grand Prix,Swedish GP,SWE,sweden
australia,Australia,Australian Grand Prix,Australian GP,AUS,australia
eifel,Eifel,Eifel Grand Prix,Eifel GP,EIF,germany
qatar,Qatar,Qatar Grand Prix,Qatar GP,QAT,qatar
70th-anniversary,70th Anniversary,70th Anniversary Grand Prix,70th Anniversary GP,70A,united-kingdom
portugal,Portugal,Portuguese Grand Prix,Portuguese GP,PRT,portugal
